,UANUM,UANAME,Population,Latitude,Longitude,4 Week Rate,4 Week TRP,CPP,CPM,AdvertisingCost,PredictedCount,ActualCount,PredictedActualDiff,PercentDiff,Households,HouseholdsPerStation
3,199,"Aberdeen--Bel Air South--Bel Air North, MD",213751,39.519347,-76.185598,122361.3125,156.25,205.6875,8.914375,1905.456570625,18.64,12,6.64,0.510769231,79703,4275.912017167382
5,145,"Aberdeen, SD",25977,45.4647222,-98.4861111,3082.5,1000.0,3.0,8.5,220.8045,1.76,2,-0.24,-0.08,11289,6414.204545454545
9,280,"Abilene, TX",110421,32.4486111,-99.7327778,3502.0833333333007,766.6666666666998,5.25,3.3333333333,368.0699999963193,2.08,2,0.08,0.026666667,41368,19888.46153846154
23,766,"Akron, OH",569499,41.08138889999999,-81.5191667,110788.5625,156.25,182.25,6.158125,3507.046029375,17.34,18,-0.66,-0.034736842000000004,230922,13317.301038062284
27,970,"Albany--Schenectady, NY",594962,42.8141667,-73.94,21228.888888888898,555.5555555556,41.8888888889,5.4444444444,3239.237555529113,47.04,55,-7.96,-0.14214285699999998,237315,5044.961734693878
28,901,"Albany, GA",95779,31.5783333,-84.1558333,8700.0,580.0,16.6,4.9,469.31710000000004,2.16,2,0.16,0.053333333,35813,16580.09259259259
30,955,"Albany, OR",56997,44.6366667,-123.1047222,600.0,200.0,3.0,4.0,227.988,3.82,4,-0.18,-0.036000000000000004,21651,5667.801047120419
32,1009,"Albert Lea, MN",17868,43.648055600000006,-93.3680556,1388.3333333332998,466.6666666667,3.0,12.0,214.416,1.44,2,-0.56,-0.18666666699999998,7864,5461.111111111111
33,1036,"Albertville, AL",36815,34.2675,-86.2088889,1600.0,400.0,4.0,4.0,147.26,1.88,2,-0.12,-0.04,12644,6725.531914893618
35,1090,"Albion, MI",9219,42.24305560000001,-84.7530556,2466.6666666667,400.0,7.0,3.6666666667,33.8030000003073,0.62,1,-0.38,-0.19,3412,5503.225806451613
38,1171,"Albuquerque, NM",741318,35.084444399999995,-106.6505556,17200.0,250.0,70.0,4.5,3335.931,19.9,15,4.9,0.30625,293235,14735.427135678394
43,1279,"Alexandria, LA",82804,31.311111100000005,-92.445,4952.7777777778,844.4444444444,7.2777777778,5.7222222222,473.8228888870488,1.78,2,-0.22,-0.073333333,28852,16208.988764044943
51,1495,"Allentown, PA--NJ",664651,40.6083333,-75.4905556,16605.0,760.0,23.9,7.3,4851.9523,23.02,8,15.02,1.668888889,251873,10941.485664639444
54,1630,"Alma--St. Louis, MI",16924,43.398006,-84.668091,2040.0,720.0,3.0,7.0,118.46799999999999,0.74,1,-0.26,-0.13,5156,6967.5675675675675
60,1765,"Alton, IL--MO",83890,38.890555600000006,-90.1841667,31190.0,280.0,110.6,5.2,436.228,5.26,8,-2.74,-0.304444444,35114,6675.665399239544
61,1792,"Altoona, PA",79930,40.5186111,-78.395,12340.416666666699,1000.0,13.666666666700001,6.75,539.5275,2.4,3,-0.6,-0.15,33060,13775.0
66,1927,"Amarillo, TX",196651,35.2219444,-101.8308333,1050.0,333.3333333333,3.3333333333,3.6666666667,721.0536666732218,4.28,2,2.28,0.76,73812,17245.794392523363
68,2008,"Americus, GA",19106,32.0722222,-84.2327778,5066.6666666667,555.5555555556,9.8888888889,5.7777777778,110.39022222264681,0.92,1,-0.08,-0.04,6670,7250.0
70,2062,"Ames, IA",60438,42.0347222,-93.6197222,500.0,200.0,3.0,5.0,302.19,3.12,2,1.12,0.373333333,23711,7599.679487179487
73,2170,"Amsterdam, NY",22262,42.9386111,-74.18861109999997,21228.888888888898,555.5555555556,41.8888888889,5.4444444444,121.20422222123281,3.24,4,-0.76,-0.152,9326,2878.395061728395
75,2224,"Anacortes, WA",16712,48.5127778,-122.6113889,7754.166666666701,816.6666666666998,10.0833333333,6.416666666699999,107.2353333338904,2.72,3,-0.28,-0.07,7293,2681.25
79,2305,"Anchorage, AK",251243,61.2180556,-149.90027780000003,7754.166666666701,816.6666666666998,10.0833333333,6.416666666699999,1612.142583341708,4.58,1,3.58,1.79,90671,19797.161572052402
80,2359,"Andalusia, AL",6655,31.3083333,-86.4833333,1347.7142857142999,457.1428571429,3.1428571429,8.142857142899999,54.19071428599949,1.12,2,-0.88,-0.29333333300000003,2481,2215.178571428571
82,2413,"Anderson, SC",75702,34.5033333,-82.6502778,1800.0,800.0,2.5,7.0,529.914,2.12,2,0.12,0.04,30792,14524.528301886792
86,2548,"Angola, IN",11196,41.6347222,-84.9994444,1500.0,300.0,6.0,12.0,134.352,0.36,1,-0.64,-0.32,4347,12075.0
87,2602,"Ann Arbor, MI",306022,42.2708333,-83.7263889,4500.0,200.0,23.0,7.0,2142.154,32.02,27,5.02,0.17928571399999998,122746,3833.4166146158645
90,2590,"Annandale, MN",3262,45.2627778,-94.1241667,4944.4444444445,422.2222222222,12.222222222200001,6.1111111111000005,19.9344444444082,0.18,2,-1.82,-0.606666667,1329,7383.333333333334
91,2629,"Anniston--Oxford, AL",79796,33.6141667,-85.835,4985.6,860.0,5.6,5.6,446.8576,1.38,3,-1.62,-0.405,30579,22158.695652173916
93,2683,"Antioch, CA",277634,38.005,-121.8047222,72659.7083333333,156.25,119.5,3.6733333333,1019.8422266574122,8.14,27,-18.86,-0.6735714290000001,87321,10727.395577395577
96,2764,"Appleton, WI",216154,44.2619444,-88.4152778,4956.25,500.0,11.0,4.9166666667,1062.7571666738718,10.2,12,-1.8,-0.138461538,87239,8552.843137254902
103,2926,"Arcata-McKinleyville, CA",32364,40.9466667,-124.0994444,3151.0,300.0,10.5,4.0,129.456,2.78,2,0.78,0.26,12953,4659.3525179856115
111,3142,"Arkansas City, KS",13026,37.0619444,-97.0380556,20320.6875,156.25,33.5,3.68875,48.0496575,0.64,1,-0.36,-0.18,4949,7732.8125
113,3196,"Arroyo Grande--Grover Beach, CA",52000,35.1216667,-120.6202778,6351.75,700.0,10.0,7.75,403.0,12.08,14,-1.92,-0.128,21753,1800.7450331125829
118,3331,"Asheboro, NC",37792,35.7077778,-79.81388890000002,13600.0,840.0,19.8,3.0,113.376,1.64,2,-0.36,-0.12,14831,9043.292682926829
119,3358,"Asheville, NC",280648,35.6008333,-82.5541667,11542.8571428571,714.2857142857001,15.142857142899999,4.0,1122.592,29.46,39,-9.54,-0.2385,119730,4064.154786150713
120,3439,"Ashland City, TN",3384,36.2741667,-87.0641667,39200.7692307692,476.9230769231,83.3846153846,3.7692307692,12.7550769229728,0.0,1,-1.0,-0.5,1458,inf
128,3520,"Aspen, CO",7710,39.1911111,-106.8169444,1550.0,400.0,4.0,7.5,57.825,1.98,2,-0.02,-0.006666666999999999,3590,1813.1313131313132
129,3547,"Astoria, OR",14115,46.18805560000001,-123.83,46783.5,1100.0,46.7,2.1,29.6415,1.08,1,0.08,0.04,6141,5686.11111111111
131,3763,"Athens-Clarke County, GA",128754,33.951935,-83.357567,1000.0,200.0,5.0,4.0,515.016,13.36,18,-4.64,-0.244210526,45131,3378.068862275449
134,3709,"Athens, TN",15985,35.4427778,-84.5930556,1234.375,425.0,3.25,5.375,85.919375,0.72,1,-0.28,-0.14,6268,8705.555555555557
136,3790,"Athol, MA",12834,42.5958333,-72.2272222,31689.0,600.0,53.4,9.0666666667,116.3616000004278,0.54,1,-0.46,-0.23,5204,9637.037037037036
137,3817,"Atlanta, GA",4515419,33.7488889,-84.3880556,64242.25,156.25,106.3125,2.140625,9665.818796874999,264.08,281,-16.92,-0.06,1645076,6229.460769463799
139,3898,"Atlantic City, NJ",248402,39.3641667,-74.4233333,19712.5,475.0,41.375,5.75,1428.3115,7.68,8,-0.32,-0.035555556,94987,12368.098958333334
141,3925,"Atmore, AL",6565,31.023611100000004,-87.4938889,7688.333333333299,911.1111111111001,9.0,5.5555555556,36.472222222514,0.72,1,-0.28,-0.14,2956,4105.555555555556
142,3957,"Atoka, TN",18885,35.4411111,-89.7780556,24436.5416666667,156.25,40.25,2.95375,55.781568750000005,2.82,5,-2.18,-0.363333333,6690,2372.340425531915
146,4021,"Aubrey, TX",4139,33.3041667,-96.9858333,78975.0,145.8333333333,136.9444444444,2.5005555556,10.3497994446284,0.06,1,-0.94,-0.47,1455,24250.0
147,4130,"Auburn--North Auburn, CA",33157,38.8966667,-121.0758333,72659.7083333333,156.25,119.5,3.6733333333,121.79671333222808,6.94,8,-1.06,-0.11777777800000001,13623,1962.9682997118155
148,4033,"Auburn, AL",74741,32.6097222,-85.4808333,7377.5294117647,1023.5294117647001,7.3529411765,5.1764705882,386.8945882326562,3.68,3,0.68,0.17,30407,8262.771739130434
152,4114,"Auburn, NY",32274,42.9316667,-76.5663889,2875.0,600.0,5.5,10.5,338.877,2.8,2,0.8,0.26666666699999997,13117,4684.642857142858
153,4222,"Augusta-Richmond County, GA--SC",386787,33.473498,-82.010515,77550.0,840.0,93.8,5.0,1933.935,23.6,7,16.6,2.075,143969,6100.381355932203
155,4195,"Augusta, ME",22637,44.3105556,-69.78,2300.0,200.0,12.0,4.0,90.548,2.68,3,-0.32,-0.08,10747,4010.0746268656712
159,4357,"Austin, MN",25103,43.6666667,-92.9744444,22930.0,200.0,114.6666666667,4.6666666667,117.14733333417011,2.18,3,-0.82,-0.205,10373,4758.256880733945
160,4384,"Austin, TX",1362416,30.2669444,-97.7427778,58266.6666666667,866.6666666666998,78.1666666667,4.8333333333,6585.010666621252,118.42,124,-5.58,-0.04464,535026,4518.03749366661
162,4438,"Avalon, CA",3652,33.3427778,-118.32694440000002,255338.125,156.25,417.2083333333,3.0004166667,10.9575216667884,0.86,1,-0.14,-0.07,1218,1416.2790697674418
165,4549,"Avondale--Goodyear, AZ",197041,33.4352778,-112.3575,95000.0,300.0,332.5,8.5,1674.8485,6.3,6,0.3,0.042857143,62791,9966.825396825398
166,4573,"Avra Valley, AZ",3869,32.4377778,-111.3147222,23490.7619047619,142.8571428571,40.5714285714,4.4504761905,17.2188923810445,0.26,2,-1.74,-0.58,1311,5042.307692307692
171,4681,"Bakersfield, CA",523994,35.3733333,-119.0177778,44720.181818181794,945.4545454545,47.818181818199996,8.0,4191.952,8.4,5,3.4,0.566666667,164005,19524.40476190476
176,4843,"Baltimore, MD",2203663,39.2902778,-76.6125,122361.3125,156.25,205.6875,8.914375,19644.278355625,172.4,169,3.4,0.02,845706,4905.487238979118
179,4924,"Bandon, OR",3119,43.1191667,-124.4072222,600.0,200.0,3.0,4.0,12.476,0.9,1,-0.1,-0.05,1707,1896.6666666666665
180,4951,"Bangor, ME",61210,44.8011111,-68.7783333,2300.0,200.0,12.0,4.0,244.84,1.82,2,-0.18,-0.06,25028,13751.648351648351
181,5086,"Bar Harbor, ME",2575,44.3875,-68.2044444,266514.0,156.25,441.0625,8.63125,22.22546875,1.18,1,0.18,0.09,1216,1030.5084745762713
187,5167,"Barnstable Town, MA",246695,41.700321,-70.300202,19200.0,500.0,42.25,3.25,801.75875,16.72,20,-3.28,-0.156190476,105368,6301.913875598087
189,5221,"Barre--Montpelier, VT",21675,44.26,-72.5758333,2478.5714285714002,457.1428571429,5.8571428571,7.7142857143,167.2071428574525,6.66,10,-3.34,-0.303636364,9523,1429.8798798798798
193,5329,"Bartlesville, OK",38874,36.7472222,-95.9805556,15211.7647058824,564.7058823529002,29.470588235300003,3.6470588235,141.775764704739,1.02,1,0.02,0.01,16330,16009.803921568628
195,5410,"Basalt--El Jebel, CO",8531,39.395,-107.0897222,1550.0,400.0,4.0,7.5,63.9825,2.64,4,-1.36,-0.272,2869,1086.7424242424242
198,5464,"Bastrop, TX",13371,30.1102778,-97.315,58266.6666666667,866.6666666666998,78.1666666667,4.8333333333,64.6264999995543,0.8,1,-0.2,-0.1,4504,5630.0
205,5680,"Baton Rouge, LA",594309,30.450555600000005,-91.1544444,30347.75,1000.0,31.75,4.0,2377.236,14.8,9,5.8,0.58,223446,15097.702702702702
